 ,X,Y,Slice
1,199.500,150.167,1
2,227.500,158.167,159
3,235.500,160.833,160
4,227.500,159.500,160
5,234.167,158.167,161
6,240.833,158.167,162
7,251.500,158.167,163
8,266.167,158.167,164
9,282.167,155.500,165
10,299.500,159.500,166
11,326.167,156.833,167
12,348.833,155.500,168
13,379.500,152.833,169
14,414.167,155.500,170
15,451.500,154.167,171
16,488.833,150.167,172
17,536.833,150.167,173
18,578.167,152.833,174
19,632.833,150.167,175
20,683.500,150.167,176
21,736.833,148.833,177
22,798.167,150.167,178
23,858.167,146.167,179
24,920.833,147.500,180
25,986.167,150.167,181
26,1055.500,152.833,182
